name,group,stencil3d,line
IsBoundary,solid_boundary,2,75
IsBoundary,solid_boundary,1,77
WallGhost,solid_boundary,2,86
WallH,solid_boundary,1,87
AnalyticFlag,solid_boundary,1,88
WallGhostRaw,solid_boundary,1,89
WallGhostClamped,solid_boundary,1,90
WallGhostClampHit,solid_boundary,1,91
WettingPathId,solid_boundary,1,92
LocalRadAngle,solid_boundary,1,93
WallCSQMode,solid_boundary,1,94
WallCSQNormalMode,solid_boundary,1,95
WallCSQValid,solid_boundary,1,96
WallCSQThetaDeg,solid_boundary,1,97
WallCSQNormalX,solid_boundary,1,98
WallCSQNormalY,solid_boundary,1,99
WallCSQNormalZ,solid_boundary,1,100
WallCSQDs,solid_boundary,1,101
WallCSQDf,solid_boundary,1,102
WallCSQQf,solid_boundary,1,103
WallCSQQsRaw,solid_boundary,1,104
WallCSQQsBounded,solid_boundary,1,105
WallCSQQw,solid_boundary,1,106
WallCSQResidual,solid_boundary,1,107
WallCSQAppliedResidual,solid_boundary,1,108
WallCSQDiscriminant,solid_boundary,1,109
WallCSQRootChoice,solid_boundary,1,110
WallCSQStencilCase,solid_boundary,1,111
WallCSQStencilL,solid_boundary,1,112
WallCSQFallbackReason,solid_boundary,1,113
WallCSQBoundedDelta,solid_boundary,1,114
WallCSQAppliedWeight,solid_boundary,1,115
WallCSQWriteAllowedFlag,solid_boundary,1,116
WallCSQCandidateCount,solid_boundary,1,117
WallCSQFluidVertexCount,solid_boundary,1,118
WallCSQTriangleInside,solid_boundary,1,119
WallCSQPlaneId,solid_boundary,1,120
WallCSQBaryMin,solid_boundary,1,121
WallCSQBaryMax,solid_boundary,1,122
WallCSQMethodComplete,solid_boundary,1,123
WallCSQVertexMaskBits,solid_boundary,1,124
WallCSQVertexRealFluidBits,solid_boundary,1,125
WallCSQVertexPhaseCleanBits,solid_boundary,1,126
WallCSQVertexQMin,solid_boundary,1,127
WallCSQVertexQMax,solid_boundary,1,128
WallCSQRejectedSolidVertexCount,solid_boundary,1,129
WallCSQRejectedSentinelCount,solid_boundary,1,130
WallCSQStrictWriteReady,solid_boundary,1,131
WallGradDeltaMag,wall_grad_diag,1,132
WallGradThetaApp,wall_grad_diag,1,133
WallMuCandidate,wall_grad_diag,1,134
DynamicCLActive,wall_grad_diag,1,137
DynamicCLIndicator,wall_grad_diag,1,138
DynamicCLCosApp,wall_grad_diag,1,139
DynamicCLThetaApp,wall_grad_diag,1,140
DynamicCLCosEq,wall_grad_diag,1,141
DynamicCLCosResidual,wall_grad_diag,1,142
DynamicCLForceCandidateX,wall_grad_diag,1,143
DynamicCLForceCandidateY,wall_grad_diag,1,144
DynamicCLForceCandidateZ,wall_grad_diag,1,145
DynamicCLForceCandidateMag,wall_grad_diag,1,146
DynamicCLTangentialX,wall_grad_diag,1,147
DynamicCLTangentialY,wall_grad_diag,1,148
DynamicCLTangentialZ,wall_grad_diag,1,149
DynamicCLWallNormalX,wall_grad_diag,1,150
DynamicCLWallNormalY,wall_grad_diag,1,151
DynamicCLWallNormalZ,wall_grad_diag,1,152
DynamicCLRejectedReason,wall_grad_diag,1,153
DynamicCLThetaEq,wall_grad_diag,1,159
DynamicCLWallContextFound,wall_grad_diag,1,160
DynamicCLBlockedReason,wall_grad_diag,1,161
DynamicCLWallDx,wall_grad_diag,1,162
DynamicCLWallDy,wall_grad_diag,1,163
DynamicCLWallDz,wall_grad_diag,1,164
ForceIterResidual,runtime_diagnostics,1,191
ForceIterCount,runtime_diagnostics,1,192
MassCorrectionApplied,runtime_diagnostics,1,193
PhaseStencilGhostUseCount,runtime_diagnostics,1,194
PhaseStencilFallbackCount,runtime_diagnostics,1,195
PhaseStencilMidpointFallbackCount,runtime_diagnostics,1,196
U,,,210
U,,,211
gradPhiVal_x,gradPhi,2,223
gradPhiVal_y,gradPhi,2,224
gradPhiVal_z,gradPhi,2,225
gradPhi_PhaseF,gradPhi,1,230
PhaseF,PF,2,232
PhaseF,PF,1,234
